Temperature,Humidity,Pressure,CO,CO2,Fire
28.1,45.7,1030.0,0.22,554.0,False
26.9,48.6,1030.0,0.0,730.0,False
26.1,49.6,1030.0,0.0,537.0,False
28.7,44.0,1030.0,0.63,882.0,False
27.1,46.5,1030.0,0.0,680.0,False
27.6,46.1,1030.0,0.0,855.0,False
27.4,46.4,1030.0,0.0,306.0,False
26.6,48.6,1030.0,0.14,597.0,False
28.8,46.7,1030.0,0.37,568.0,False
28.1,45.7,1030.0,0.09,602.0,False
26.9,48.8,1030.0,0.0,727.0,False
26.2,49.9,1030.0,0.0,538.0,False
28.7,44.0,1030.0,0.58,903.0,False
27.2,46.8,1030.0,0.0,676.0,False
27.6,47.0,1030.0,0.01,869.0,False
27.4,46.3,1030.0,0.0,428.0,False
26.6,49.5,1030.0,0.13,587.0,False
28.7,46.7,1030.0,0.48,641.0,False
28.1,45.7,1030.0,0.1,600.0,False
26.8,49.0,1030.0,0.0,726.0,False
26.2,50.0,1030.0,0.0,538.0,False
28.7,44.0,1030.0,0.62,978.0,False
27.2,47.0,1030.0,0.0,694.0,False
27.6,47.1,1030.0,0.1,876.0,False
27.4,46.7,1030.0,0.0,449.0,False
26.6,49.4,1030.0,0.09,515.0,False
28.7,46.9,1030.0,0.38,795.0,False
28.2,45.8,1030.0,0.0,373.0,False
26.8,49.3,1030.0,0.0,726.0,False
26.1,50.2,1030.0,0.0,537.0,False
28.6,44.1,1030.0,0.66,955.0,False
27.2,47.1,1030.0,0.21,704.0,False
27.6,47.2,1030.0,0.04,885.0,False
27.4,46.7,1030.0,0.0,244.0,False
26.7,49.3,1030.0,0.096666664,569.0,False
28.7,46.7,1030.0,0.37,839.0,False
28.1,45.8,1030.0,0.19,370.0,False
26.8,49.5,1030.0,0.0,724.0,False
26.2,50.1,1030.0,0.0,534.0,False
28.6,44.3,1030.0,0.51,926.0,False
27.2,47.3,1030.0,0.21,693.0,False
27.7,47.2,1030.0,0.03,892.0,False
27.5,46.7,1030.0,0.0,478.0,False
26.7,49.8,1030.0,0.09,583.0,False
28.7,46.6,1030.0,0.37,791.0,False
28.2,45.8,1030.0,0.25,348.0,False
26.8,49.6,1030.0,0.0,724.0,False
26.2,50.4,1030.0,0.0,532.0,False
28.6,44.5,1030.0,0.55,889.0,False
27.2,47.4,1030.0,0.18,679.0,False
27.7,47.4,1030.0,0.01,898.0,False
27.4,46.9,1030.0,0.0,327.0,False
26.7,49.6,1030.0,0.17,600.0,False
28.7,45.7,1030.0,0.42,706.0,False
28.3,45.8,1030.0,0.04,410.0,False
26.7,49.8,1030.0,0.0,726.0,False
26.2,50.5,1030.0,0.0,533.0,False
28.6,44.7,1030.0,0.56,899.0,False
27.3,47.7,1030.0,0.44,662.0,False
27.7,47.4,1030.0,0.03,901.0,False
27.5,47.1,1030.0,0.0,503.0,False
26.7,49.5,1030.0,0.13,606.0,False
28.7,45.2,1030.0,0.4,798.0,False
28.3,45.9,1030.0,0.0,439.0,False
26.7,50.1,1030.0,0.0,726.0,False
26.3,50.5,1030.0,0.0,534.0,False
28.6,44.7,1030.0,0.57,968.0,False
27.3,47.7,1030.0,0.25,638.0,False
27.6,47.5,1030.0,0.0,883.0,False
27.5,47.1,1030.0,0.0,458.0,False
26.7,49.8,1030.0,0.22,620.0,False
28.6,45.2,1030.0,0.38,832.0,False
28.2,46.0,1030.0,0.0,574.0,False
26.7,50.5,1030.0,0.0,728.0,False
26.3,50.7,1030.0,0.0,535.0,False
28.6,44.7,1030.0,0.53,963.0,False
27.3,47.7,1030.0,0.35,721.0,False
27.6,47.7,1030.0,0.0,898.0,False
27.5,47.2,1030.0,0.0,493.0,False
26.7,49.9,1030.0,0.18,632.0,False
28.6,45.5,1030.0,0.34,689.0,False
28.3,46.0,1030.0,0.0,629.0,False
26.7,50.5,1030.0,0.0,736.0,False
26.3,50.7,1030.0,0.0,536.0,False
28.6,44.9,1030.0,0.56,967.0,False
27.3,47.8,1030.0,0.05,719.0,False
27.6,47.6,1030.0,0.0,915.0,False
27.5,47.1,1030.0,0.0,520.0,False
26.8,49.9,1030.0,0.23,628.0,False
28.6,45.6,1030.0,0.48,326.0,False
28.3,46.0,1030.0,0.17,504.0,False
26.8,50.5,1030.0,0.0,737.0,False
26.4,50.8,1030.0,0.0,539.0,False
28.6,44.7,1030.0,0.55,896.0,False
27.4,48.0,1030.0,0.0,692.0,False
27.6,47.6,1030.0,0.0,914.0,False
27.5,47.0,1030.0,0.0,404.0,False
26.8,50.3,1030.0,0.22,608.0,False
28.6,45.6,1030.0,0.32,778.0,False
28.4,46.0,1030.0,0.07,520.0,False
26.8,50.8,1030.0,0.0,738.0,False
26.4,50.9,1030.0,0.0,540.0,False
28.5,45.2,1030.0,0.59,908.0,False
27.4,48.0,1030.0,0.0,695.0,False
27.7,47.8,1030.0,0.0,925.0,False
27.6,47.0,1030.0,0.0,414.0,False
26.8,50.2,1030.0,0.19,606.0,False
28.7,45.3,1030.0,0.35,814.0,False
28.4,45.9,1030.0,0.12,399.0,False
26.9,50.7,1030.0,0.0,739.0,False
26.4,51.0,1030.0,0.0,544.0,False
28.5,45.3,1030.0,0.64,982.0,False
27.4,48.0,1030.0,0.26,650.0,False
27.7,47.8,1030.0,0.0,918.0,False
27.6,47.0,1030.0,0.0,332.0,False
26.8,50.2,1030.0,0.25,620.0,False
28.7,45.2,1030.0,0.38,666.0,False
28.5,45.8,1030.0,0.21,375.0,False
26.9,51.2,1030.0,0.0,743.0,False
26.5,50.9,1030.0,0.01,552.0,False
28.4,45.3,1030.0,0.61,994.0,False
27.3,48.4,1030.0,0.08,719.0,False
27.6,47.9,1030.0,0.0,908.0,False
27.6,47.0,1030.0,0.0,484.0,False
26.8,50.5,1030.0,0.24,618.0,False
28.6,45.4,1030.0,0.4,274.0,False
28.5,45.9,1030.0,0.0,446.0,False
26.9,51.1,1030.0,0.0,747.0,False
26.5,51.3,1030.0,0.02,555.0,False
28.5,45.1,1030.0,0.45,981.0,False
27.3,48.4,1030.0,0.26,709.0,False
27.7,47.9,1030.0,0.0,908.0,False
27.6,47.3,1030.0,0.0,556.0,False
26.8,50.3,1030.0,0.26,617.0,False
28.6,45.5,1030.0,0.31,755.0,False
28.6,45.7,1030.0,0.15,475.0,False
26.9,51.0,1030.0,0.0,747.0,False
26.5,51.0,1030.0,0.1,556.0,False
28.5,45.2,1030.0,0.42,908.0,False
27.3,48.5,1030.0,0.22,720.0,False
27.6,47.9,1030.0,0.01,919.0,False
27.6,47.5,1030.0,0.0,452.0,False
26.9,50.1,1030.0,0.34,616.0,False
28.6,45.5,1030.0,0.31,851.0,False
28.5,45.8,1030.0,0.12,507.0,False
26.9,51.0,1030.0,0.0,751.0,False
26.6,51.1,1030.0,0.08,556.0,False
28.5,45.2,1030.0,0.43,893.0,False
27.4,48.4,1030.0,0.11,725.0,False
27.6,47.9,1030.0,0.0,922.0,False
27.7,47.1,1030.0,0.0,516.0,False
26.9,50.2,1030.0,0.31,619.0,False
28.7,45.5,1030.0,0.31,834.0,False
28.5,45.9,1030.0,0.22,499.0,False
27.0,51.2,1030.0,0.0,749.0,False
26.6,50.9,1030.0,0.05,558.0,False
28.5,45.2,1030.0,0.39,916.0,False
