"Part";"Value";"Device";"Package";"Description";"ALLIED_NUMBER";"ALLIED_PRICE-STOCK";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"CHECK_PRICES";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"DIGIKEY_PART_NUMBER";"HEIGHT";"LCSC_DATASHEET";"LCSC_PART";"LCSC_PRICE1_EUR";"LCSC_ROTATION_CCW";"LCSC_STOCK";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PROPERTIES";"PURCHASE-URL";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SNAPEDA_LINK";"SPICEPREFIX";
"C21";"CL10C200JB8NNNC";"CL10C200JB8NNNC";"CAPC1608X90N";"";"";"";"";"";"";"https://www.snapeda.com/parts/CL10C200JB8NNNC/Samsung/view-part/?ref=eda";"                                                      20 pF ±5% 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)                                              ";"";"";"1276-1187-1-ND";"";"";"";"";"";"";"";"";"Samsung";"";"";"CL10C200JB8NNNC";"";"";"";"SMD-2 Samsung";"";"";"";"";"";"";"https://www.snapeda.com/parts/CL10C200JB8NNNC/Samsung/view-part/?ref=snap";"";
"C22";"CC0603KRX5R7BB105";"CC0603KRX5R7BB105";"CAPC1608X90";"CAPACITOR CERAMIC, 1µF, 10V, X5R, 0603; Dielectric Characteristic:X5R; Capacitance:1µF; Capacitance Tolerance:± 10%; Voltage Rating:16V; Temperature Coefficient:± 15%; Capacitor Case Style:0603; No. of Pins:2; Mounting Type:SMD ;RoHS Compliant: Yes";"";"";"";"";"";"";" 1µF ±10% 16V Ceramic Capacitor X5R 0603 _1608 Metric_ ";"311-1444-1-ND";"https://www.digikey.com/product-detail/en/yageo/CC0603KRX5R7BB105/311-1444-1-ND/2833750?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"";"";"";"";"";"";"";"";"";"Yageo";"";"";"CC0603KRX5R7BB105";"";"";"";"0603 Yageo";"";"";"";"";"";"";"";"";
"C23";"C_10UF/25V_0805";"C_10UF/25V_0805";"C0805";"Capacitor General purpose SMD Capacitor";"";"";"";"";"";"";"";"";"";"";"";"https://datasheet.lcsc.com/lcsc/1811121310_Samsung-Electro-Mechanics-CL21A106KAYNNNE_C15850.pdf";"C15850";"";"0";"1370441";"";"";"";"";"";"";"";"";"";"";"";"";"X5R 25V ±10% 10uF 0805  ROHS";"";"";"";"";"";
"C24";"CL10C200JB8NNNC";"CL10C200JB8NNNC";"CAPC1608X90N";"";"";"";"";"";"";"https://www.snapeda.com/parts/CL10C200JB8NNNC/Samsung/view-part/?ref=eda";"                                                      20 pF ±5% 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)                                              ";"";"";"1276-1187-1-ND";"";"";"";"";"";"";"";"";"Samsung";"";"";"CL10C200JB8NNNC";"";"";"";"SMD-2 Samsung";"";"";"";"";"";"";"https://www.snapeda.com/parts/CL10C200JB8NNNC/Samsung/view-part/?ref=snap";"";
"C25";"CL10C200JB8NNNC";"CL10C200JB8NNNC";"CAPC1608X90N";"";"";"";"";"";"";"https://www.snapeda.com/parts/CL10C200JB8NNNC/Samsung/view-part/?ref=eda";"                                                      20 pF ±5% 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)                                              ";"";"";"1276-1187-1-ND";"";"";"";"";"";"";"";"";"Samsung";"";"";"CL10C200JB8NNNC";"";"";"";"SMD-2 Samsung";"";"";"";"";"";"";"https://www.snapeda.com/parts/CL10C200JB8NNNC/Samsung/view-part/?ref=snap";"";
"C33";"22uF";"C_22UF/6.3V_0603";"C0603";"Capacitor General purpose SMD Capacitor";"";"";"";"";"";"";"";"";"";"";"";"https://datasheet.lcsc.com/lcsc/1811151138_Samsung-Electro-Mechanics-CL10A226MQ8NRNC_C59461.pdf";"C59461";"";"0";"6685052";"";"";"";"";"";"";"";"";"";"";"";"";"6.3V 22uF X5R ±20% 0603  ROHS";"";"";"";"";"";
"C34";"22uF";"C_22UF/6.3V_0603";"C0603";"Capacitor General purpose SMD Capacitor";"";"";"";"";"";"";"";"";"";"";"";"https://datasheet.lcsc.com/lcsc/1811151138_Samsung-Electro-Mechanics-CL10A226MQ8NRNC_C59461.pdf";"C59461";"";"0";"6685052";"";"";"";"";"";"";"";"";"";"";"";"";"6.3V 22uF X5R ±20% 0603  ROHS";"";"";"";"";"";
"C35";"10uF";"C_10UF/10V_0603";"C0603";"Capacitor General purpose SMD Capacitor";"";"";"";"";"";"";"";"";"";"";"";"https://datasheet.lcsc.com/lcsc/1810191219_Samsung-Electro-Mechanics-CL10A106KP8NNNC_C19702.pdf";"C19702";"";"0";"2089400";"";"";"";"";"";"";"";"";"";"";"";"";"10V 10uF X5R ±10% 0603  ROHS";"";"";"";"";"";
"C36";"22uF";"C_22UF/6.3V_0603";"C0603";"Capacitor General purpose SMD Capacitor";"";"";"";"";"";"";"";"";"";"";"";"https://datasheet.lcsc.com/lcsc/1811151138_Samsung-Electro-Mechanics-CL10A226MQ8NRNC_C59461.pdf";"C59461";"";"0";"6685052";"";"";"";"";"";"";"";"";"";"";"";"";"6.3V 22uF X5R ±20% 0603  ROHS";"";"";"";"";"";
"C37";"10uF";"C_10UF/10V_0603";"C0603";"Capacitor General purpose SMD Capacitor";"";"";"";"";"";"";"";"";"";"";"";"https://datasheet.lcsc.com/lcsc/1810191219_Samsung-Electro-Mechanics-CL10A106KP8NNNC_C19702.pdf";"C19702";"";"0";"2089400";"";"";"";"";"";"";"";"";"";"";"";"";"10V 10uF X5R ±10% 0603  ROHS";"";"";"";"";"";
